title,author,year,url,text_length
На захадзе сонца,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Na_zachadzie_sonca.html,821
Жураўліны вырай,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Zurauliny_vyraj.html,1492
Вясна,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Viasna_viasna.html,619
Пажаданні пад новы 1943 год,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Pazadanni_pad_novy_1943_hod.html,627
Шаснаццатая гадавіна,Якуб Колас,1933,https://knihi.com/Jakub_Kolas/Sasnaccataja_hadavina.html,736
Покліч,Якуб Колас,1921,https://knihi.com/Jakub_Kolas/Poklic_sercam.html,1177
"Не дай, Божа, сэрцам знікнуць...",Якуб Колас,1912,"https://knihi.com/Jakub_Kolas/Nie_daj,_Boza,_sercam_zniknuc.html",194
Сцёпкаў сон,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Sciopkau_son.html,1097
Водгулле,Якуб Колас,1921,https://knihi.com/Jakub_Kolas/Vodhulle.html,527
Савецкім народам,Якуб Колас,,https://knihi.com/Jakub_Kolas/Savieckim_narodam.html,471
З астрога на волю,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Z_astroha_na_volu.html,1412
Савецкія годы,Якуб Колас,1948,https://knihi.com/Jakub_Kolas/Savieckija_hody_daloka.html,1393
Жніўныя песні,Якуб Колас,1912,https://knihi.com/Jakub_Kolas/Zniunyja_piesni.html,851
У астрозе,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/U_astrozie_nudna.html,899
Вярба,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Viarba.html,937
Ворагам,Якуб Колас,1927,https://knihi.com/Jakub_Kolas/Voraham_drot.html,675
З Каўказа,Якуб Колас,1926,https://knihi.com/Jakub_Kolas/Z_Kaukaza.html,344
"Усміхнулася, зардзела...",Якуб Колас,1914,"https://knihi.com/Jakub_Kolas/Usmichnulasia,_zardziela.html",372
Хмаркі,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Chmarki_svietlyja.html,731
Голас зямлі,Якуб Колас,1941,https://knihi.com/Jakub_Kolas/Holas_ziamli.html,728
З Рабіндраната Тагора,Якуб Колас,1926,https://knihi.com/Jakub_Kolas/Z_Rabindranata_Tahora_skazy.html,926
Навальніца,Якуб Колас,1919,https://knihi.com/Jakub_Kolas/Navalnica_viers.html,319
А. А. К.-Я.-Б.,Якуб Колас,1950,https://knihi.com/Jakub_Kolas/A_A_K-Ja-B.html,693
Маёй вясне,Якуб Колас,,https://knihi.com/Jakub_Kolas/Majoj_viasnie_ody.html,710
Палессе,Якуб Колас,1916,https://knihi.com/Jakub_Kolas/Palessie_kraj.html,728
Роднае поле,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Rodnaje_pole.html,548
Роднаму краю,Якуб Колас,1913,https://knihi.com/Jakub_Kolas/Rodnamu_kraju_zal.html,628
У зале Крамлёўскага палаца,Якуб Колас,1946,https://knihi.com/Jakub_Kolas/U_zale_Kramlouskaha_palaca.html,748
На развітанне,Якуб Колас,1950,https://knihi.com/Jakub_Kolas/Na_razvitannie_daroha.html,476
Калгасу «Слабада»,Якуб Колас,1933,https://knihi.com/Jakub_Kolas/Kalhasu_Slabada.html,589
Камсамольцам,Якуб Колас,1936,https://knihi.com/Jakub_Kolas/Kamsamolcam_pryviet.html,1039
Дэпутату беларускага народа,Якуб Колас,1938,https://knihi.com/Jakub_Kolas/Deputatu_bielaruskaha_naroda_rannie.html,478
Пісьмо з астрога,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Pismo_z_astroha.html,1810
Піянерская песня,Якуб Колас,1939,https://knihi.com/Jakub_Kolas/Pijanierskaja_piesnia.html,765
Родныя вобразы,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Rodnyja_vobrazy.html,656
Многа слаўненькіх куточкаў...,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Mnoha_slaunienkich_kutockau.html,289
Маёй вясне,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Majoj_viasnie_volu.html,308
Калі спакой?,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Kali_spakoj.html,246
Памяці герояў,Якуб Колас,1935,https://knihi.com/Jakub_Kolas/Pamiaci_hierojau.html,544
Байцам і камандзірам Чырвонай Арміі,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Bajcam_i_kamandziram_Cyrvonaj_Armii.html,702
Былінцы,Якуб Колас,1949,https://knihi.com/Jakub_Kolas/Bylincy_niauzo.html,457
Саюзнікі,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Sajuzniki.html,842
Янку Купалу,Якуб Колас,1937,https://knihi.com/Jakub_Kolas/Janku_Kupalu_eksprompt.html,555
Песня над калыскай,Якуб Колас,1906,https://knihi.com/Jakub_Kolas/Piesnia_nad_kalyskaj.html,1051
